GPIO;Device name; Signal name;Time (μs);Level;Duration (μs)
  17;   remote_a;  on_off_btn;      391;    1;          391
  17;   remote_a;  on_off_btn;     1638;    0;         1247
  17;   remote_a;  on_off_btn;     2824;    1;         1186
  17;   remote_a;  on_off_btn;     3283;    0;          459
  17;   remote_a;  on_off_btn;     4471;    1;         1188
  17;   remote_a;  on_off_btn;     4930;    0;          459
  17;   remote_a;  on_off_btn;     6119;    1;         1189
  17;   remote_a;  on_off_btn;     6580;    0;          461
  17;   remote_a;  on_off_btn;     7766;    1;         1186
  17;   remote_a;  on_off_btn;     8230;    0;          464
  17;   remote_a;  on_off_btn;     8620;    1;          390
  17;   remote_a;  on_off_btn;     9866;    0;         1246
  17;   remote_a;  on_off_btn;    10256;    1;          390
  17;   remote_a;  on_off_btn;    11501;    0;         1245
  17;   remote_a;  on_off_btn;    12685;    1;         1184
  17;   remote_a;  on_off_btn;    13160;    0;          475
  17;   remote_a;  on_off_btn;    13545;    1;          385
  17;   remote_a;  on_off_btn;    14788;    0;         1243
  17;   remote_a;  on_off_btn;    15180;    1;          392
  17;   remote_a;  on_off_btn;    16426;    0;         1246
  17;   remote_a;  on_off_btn;    16815;    1;          389
  17;   remote_a;  on_off_btn;    18056;    0;         1241
  17;   remote_a;  on_off_btn;    18450;    1;          394
  17;   remote_a;  on_off_btn;    19689;    0;         1239
  17;   remote_a;  on_off_btn;    20085;    1;          396
  17;   remote_a;  on_off_btn;    21330;    0;         1245
  17;   remote_a;  on_off_btn;    21721;    1;          391
  17;   remote_a;  on_off_btn;    22964;    0;         1243
  17;   remote_a;  on_off_btn;    24150;    1;         1186
  17;   remote_a;  on_off_btn;    24618;    0;          468
  17;   remote_a;  on_off_btn;    25798;    1;         1180
  17;   remote_a;  on_off_btn;    26270;    0;          472
  17;   remote_a;  on_off_btn;    26655;    1;          385
  17;   remote_a;  on_off_btn;    27899;    0;         1244
  17;   remote_a;  on_off_btn;    28291;    1;          392
  17;   remote_a;  on_off_btn;    29536;    0;         1245
  17;   remote_a;  on_off_btn;    29926;    1;          390
  17;   remote_a;  on_off_btn;    31171;    0;         1245
  17;   remote_a;  on_off_btn;    31562;    1;          391
  17;   remote_a;  on_off_btn;    32808;    0;         1246
  17;   remote_a;  on_off_btn;    33197;    1;          389
  17;   remote_a;  on_off_btn;    34441;    0;         1244
  17;   remote_a;  on_off_btn;    34832;    1;          391
  17;   remote_a;  on_off_btn;    36079;    0;         1247
  17;   remote_a;  on_off_btn;    36467;    1;          388
  17;   remote_a;  on_off_btn;    37709;    0;         1242
  17;   remote_a;  on_off_btn;    38898;    1;         1189
  17;   remote_a;  on_off_btn;    39365;    0;          467
  17;   remote_a;  on_off_btn;    39750;    1;          385
  17;   remote_a;  on_off_btn;    51926;    0;        12176
  17;   remote_a;  on_off_btn;    52324;    1;          398
  17;   remote_a;  on_off_btn;    53566;    0;         1242
  17;   remote_a;  on_off_btn;    54754;    1;         1188
  17;   remote_a;  on_off_btn;    55215;    0;          461
  17;   remote_a;  on_off_btn;    56402;    1;         1187
  17;   remote_a;  on_off_btn;    56861;    0;          459
  17;   remote_a;  on_off_btn;    58048;    1;         1187
  17;   remote_a;  on_off_btn;    58508;    0;          460
  17;   remote_a;  on_off_btn;    59696;    1;         1188
  17;   remote_a;  on_off_btn;    60159;    0;          463
  17;   remote_a;  on_off_btn;    60549;    1;          390
  17;   remote_a;  on_off_btn;    61795;    0;         1246
  17;   remote_a;  on_off_btn;    62185;    1;          390
  17;   remote_a;  on_off_btn;    63427;    0;         1242
  17;   remote_a;  on_off_btn;    64615;    1;         1188
  17;   remote_a;  on_off_btn;    65088;    0;          473
  17;   remote_a;  on_off_btn;    65475;    1;          387
  17;   remote_a;  on_off_btn;    66717;    0;         1242
  17;   remote_a;  on_off_btn;    67111;    1;          394
  17;   remote_a;  on_off_btn;    68355;    0;         1244
  17;   remote_a;  on_off_btn;    68745;    1;          390
  17;   remote_a;  on_off_btn;    69992;    0;         1247
  17;   remote_a;  on_off_btn;    70382;    1;          390
  17;   remote_a;  on_off_btn;    71625;    0;         1243
  17;   remote_a;  on_off_btn;    72016;    1;          391
  17;   remote_a;  on_off_btn;    73262;    0;         1246
